contestant,season_name,season_number,original_tribe,original_tribe_color
42,Dawn Meehan,,,
25,John Cochran,,,
Rupert Boneham,Survivor: Blood vs. Water,,,
22,Colton Cumbie,,,
33,Rachel Foulger,,,
21,Marissa Peterson,,,
30,Candice Cody,,,
44,Brad Culpepper,,,
23,Kat Edorsson,,,
30,John Cody,,,
44,Laura Boneham,,,
31,Aras Baskauskas,,,
33,Vytas Baskauskas,,,
26,Caleb Bankston,,,
25,Katie Collins,,,
27,Hayden Moss,,,
43,Laura Morett,,,
24,Ciera Eastin,,,
52,Tina Wesson,,,
43,Gervase Peterson,,,
42,Monica Culpepper,,,
34,Tyson Apostol,,,
David Samson,Survivor: Cagayan,,,
27,Garrett Adelstein,,,
27,Brice Johnston,,,
31,J'Tia Taylor,,,
46,Cliff Robinson,,,
29,Lindsey Ogle,,,
21,Alexis Maxwell,,,
29,Sarah Lacina,,,
21,Morgan McLeod,,,
34,"Leon Joseph ""LJ"" McKanas",,,
34,Jeremiah Wood,,,
22,Jefra Bland,,,
37,"Latasha ""Tasha"" Fox",,,
48,Trish Hegarty,,,
21,Spencer Bledsoe,,,
41,"Kassandra ""Kass"" McQuillen",,,
29,"Yung ""Woo"" Hwang",,,
39,Tony Vlachos,,,
Nadiya Anderson,Survivor: San Juan del Sur,,,
35,Val Collins,,,
39,John Rocker,,,
25,Drew Christy,,,
28,Kelley Wentworth,,,
55,Dale Wentworth,,,
34,Julie McGee,,,
32,Josh Canfield,,,
36,Jeremy Collins,,,
24,Wes Nale,,,
31,Reed Kelly,,,
22,Alec Christy,,,
26,Jon Misch,,,
20,Baylor Wilson,,,
53,Keith Nale,,,
47,Missy Payne,,,
25,Jaclyn Schultz,,,
28,Natalie Anderson,,,
"Charlotte ""So"" Kim",Survivor: Worlds Apart,,,
32,Vince Sly,,,
51,Nina Poersch,,,
24,Lindsey Cascaddan,,,
37,Max Dawson,,,
27,Joaquin Souberbielle,,,
44,Kelly Remington,,,
25,Hali Ford,,,
25,Joe Anglim,,,
22,Jenn Brown,,,
31,Shirin Oskooi,,,
33,Tyler Fredrickson,,,
47,Dan Foley,,,
27,Sierra Dawn Thomas,,,
24,"Rodney Lavoie, Jr.",,,
41,Will Sims II,,,
52,Carolyn Rivera,,,
38,Mike Holloway,,,
Vytas Baskauskas,Survivor: Cambodia,,,
32,Shirin Oskooi,,,
37,Peih-Gee Law,,,
49,Jeff Varner,,,
30,Monica Padilla,,,
